ID,AccountNumber,AccountType,Balance
225,GB39YKXL03357672041600,Checking,69504.7
226,GB63EQTO91406943751256,Savings,87506.94
227,GB33JCAU20708335566810,Investment,95941.81
228,GB73WQAV88591476854523,Investment,14920.68
229,GB42PZYY90870303961816,Investment,29804.24
230,GB63SOFS36916454429387,Investment,69862.8
231,GB75QHQK93591873789931,Savings,50914.32
232,GB24VMIC01238932546590,Checking,33949.74
233,GB06MFMU08211181187403,Investment,28063.41
234,GB28RDAH61263321697550,Savings,89760.7
235,GB06ZVRL44690924302929,Investment,50632.4
236,GB05UNMQ99002981430357,Savings,32156.18
237,GB20FMGV51218609367511,Checking,44398.85
238,GB88FCEN27606581815687,Savings,45900.86
239,GB70HJWG88153767726573,Savings,49181.07
240,GB87YAUR07046785921429,Checking,88686.86
241,GB41ZJZT08500558441936,Checking,89270.16
242,GB62AGYD29423801498349,Savings,65659.16
243,GB63CXZN74591335252865,Checking,15429.39
244,GB59RJNQ37721574072378,Savings,50324.39
245,GB29NHCW93428306709920,Checking,75613.0
246,GB89DOCT70104692350592,Savings,34298.19
247,GB76ZHBZ24303107058470,Investment,85613.49
248,GB15TIJC04935695015061,Checking,39052.4
249,GB14AUOS93335713286560,Investment,88463.34
250,GB73VQBO22592496266125,Investment,49870.77
251,GB97HHKM90675152850772,Savings,71134.88
252,GB15WNNX22408995378235,Savings,50949.45
253,GB75LINA02290830645751,Checking,57910.35
254,GB32XZEP21349875228545,Savings,37269.9
255,GB25XQYS15580380314879,Savings,27646.9
256,GB24IHGG63684729559363,Savings,87207.0
257,GB30PGQO22690970572722,Savings,16355.57
258,GB93NSXD82931480642012,Checking,74843.59
259,GB18JHLU13040698311591,Investment,6558.33
260,GB97VVVA83541656978660,Checking,11271.22
261,GB36RVQT27159232296452,Checking,51201.61
262,GB82IROJ46411109125709,Savings,44685.21
263,GB29IDMN20502072748602,Checking,75819.59
264,GB25YGNG61151764827988,Savings,78725.46
265,GB63FIEO98391766796370,Savings,34827.49
266,GB57OYLP41140094387908,Checking,11923.9
267,GB41VBKY87402146524921,Investment,45106.67
268,GB59BINN09777338972644,Investment,93169.42
269,GB80MGNG63110467847857,Investment,84321.48
270,GB09JLQW38768411856686,Checking,75875.44
271,GB60IAUJ88214502212316,Investment,75097.49
272,GB57IZNM34392259545466,Investment,51690.22
273,GB58KBDL16392416752061,Checking,3883.87
274,GB26AENT66079864116438,Investment,39075.72
275,GB89AZBP88329588945764,Investment,28938.65
276,GB72VEQQ31291609683800,Investment,81565.57
277,GB31LPRV70431964764958,Checking,39764.74
278,GB06PQWW55607965699457,Checking,1841.18
279,GB34NKDD27108148006983,Savings,94561.43
280,GB59YYST18061148946721,Checking,82238.21
281,GB24EJSG69973425359032,Checking,26420.75
282,GB25XMKC16942145312199,Checking,19886.61
283,GB95SUXU77129627426043,Checking,87566.66
284,GB34HDHH14585712591865,Investment,7373.25
285,GB87WZJM89555553110822,Checking,90025.38
286,GB05FFGS82341178341391,Savings,73842.21
287,GB97XYZK98711505347620,Savings,45457.78
288,GB48NFFA94489068894391,Checking,46057.15
289,GB71UEPS99397125321990,Savings,2551.5
290,GB51XXQD29605029907043,Savings,31957.28
291,GB52XTMT39969456063502,Investment,50702.84
292,GB86NWKT73061509679038,Checking,69564.12
293,GB39QRDU02742364328988,Investment,72425.36
294,GB56HDLJ69296271895084,Checking,91751.37
295,GB64ZUHB53559156080514,Checking,65459.4
296,GB38NZVN85631073881747,Checking,33572.4
297,GB28FFUL63465566481744,Checking,11347.02
298,GB83XWIY65733474791742,Investment,80965.56
299,GB24EMKI65444244331400,Savings,36160.76
300,GB29WBRG17979477367154,Checking,87326.89
301,GB07IJBR53795261660633,Checking,85719.63
302,GB39EKPG01992305447400,Checking,18691.19
303,GB11MCMH64917693766986,Checking,28568.71
304,GB14GMRD52998885169187,Savings,50672.94
305,GB76SKAL68545982164369,Checking,3889.64
306,GB86TWCI82601951599368,Checking,99646.54
307,GB48ECZD10412250043966,Checking,57713.08
308,GB34GBTF05047731979180,Checking,97483.8
309,GB78RNLU05344222768597,Investment,73841.53
310,GB75TWAT09995960824634,Investment,84748.8
311,GB54KCCV68423619284795,Savings,87279.39
312,GB04FGTB36133452102635,Savings,4257.42
313,GB74HZEE96098654708413,Investment,7811.11
314,GB67PXJC87955405214447,Investment,33525.33
315,GB56NZRM10849813723931,Investment,73197.91
316,GB93FOVT23705893789442,Checking,3287.45
317,GB02BOGC09410365317863,Investment,45356.84
318,GB11ELJI47145912756465,Savings,30190.97
319,GB38FGSU57726477399291,Checking,24548.29
320,GB18DSMO81661964369044,Savings,71718.12
321,GB02FWDN56113416190622,Investment,6727.54
322,GB63VNBM52663816135299,Checking,76710.03
323,GB65JIFQ51441926236685,Checking,47908.06
324,GB33BYDZ97203691991419,Investment,57718.78
325,GB58SDCE72392099742941,Checking,58189.29
326,GB26FRDD04105977005454,Checking,62144.43
327,GB25ISBX12272627823467,Savings,62652.21
328,GB17NLEK22354967964485,Savings,40750.9
329,GB94WVPQ44704143467437,Savings,68270.74
330,GB74GOUL09288822259427,Checking,13719.86
331,GB63YMSP76906058085014,Checking,62294.11
332,GB22DUTA44579704712985,Investment,9217.13
333,GB61RGOU11115779371168,Savings,15172.86
334,GB80GNRZ69610344171189,Investment,20888.72
335,GB74WVUO14027309105255,Savings,29576.22
336,GB77HPNP94393945772577,Savings,29206.03
337,GB62FUUF97945358902659,Savings,10639.68
338,GB60RYFH91368205577621,Investment,49701.82
339,GB25ZXTS97226991941694,Investment,62362.24
340,GB40OIUD91518985105770,Investment,24153.44
341,GB21TFLV73528930109894,Checking,79453.1
342,GB61ECRZ51349140583989,Investment,23946.93
343,GB42VGDJ91792285137934,Checking,9766.52
344,GB52AQYP97679311309658,Investment,41608.8
345,GB42CNPZ59518749274107,Investment,94798.25
346,GB05CUJM26900540768678,Savings,26480.33
347,GB27OYXZ43808588636301,Investment,37545.33
348,GB95EOOU57050782932058,Investment,51826.36
349,GB91MICP57206670594607,Investment,19396.81
350,GB51QUKX12890161631277,Checking,77144.39
351,GB75PCWE94955335032888,Checking,15068.79
352,GB83JZYV08672871442974,Checking,5812.0
353,GB27FYNW89884519101895,Investment,27954.96
354,GB77SDLV50822793746033,Savings,36971.57
355,GB36CTAH79891342567170,Investment,73893.81
356,GB35RAHZ34187226902331,Investment,26195.54
357,GB75ZBVK58886137074172,Investment,24887.14
358,GB36JHGL40815490888945,Savings,28635.72
359,GB76ZQGY65783730689581,Investment,50295.53
360,GB87KIOU38238912101659,Checking,62458.65
361,GB34VJQT23783145538169,Savings,77916.02
362,GB38GRXI17594908650078,Savings,34035.76
363,GB29FBQB61365761119382,Checking,14702.86
364,GB72XSPP59736647618213,Savings,40915.04
365,GB89WJNR21412070491124,Savings,43113.67
366,GB07ZYMI92331968371289,Investment,18086.78
367,GB17CAHY39489468268861,Checking,28646.4
368,GB80SSPO90737902897235,Investment,90674.44
369,GB75ESZK84227828235182,Checking,6356.14
370,GB12UQGD36159293450129,Savings,41076.35
371,GB67NMDV82158515195277,Investment,89019.43
372,GB58VINK23876990773539,Savings,74591.51
373,GB72NKKV13712063046734,Savings,18740.06
374,GB76JBVP25754407377903,Checking,99897.49
375,GB23CFWI45431481310481,Investment,28687.72
376,GB25LOCV18824435464638,Investment,83700.63
377,GB52XIIV28423424144159,Savings,16116.44
378,GB49QUHY81864212580361,Investment,36496.59
379,GB67LKMS68014560352358,Investment,42260.98
380,GB67ZAKQ44900760103859,Checking,24324.07
381,GB29HSSG37211061003087,Investment,75678.7
382,GB16YECQ88486654145530,Checking,24836.17
383,GB32TIKN29936628061777,Savings,87267.42
384,GB92GRDW68461604470731,Investment,51294.96
385,GB09SUCW47960611271612,Savings,52408.69
386,GB81EQYB90890415125548,Checking,88514.52
387,GB86TMOB72206377199118,Investment,95119.68
388,GB74XWXL95218558882714,Savings,85600.7
389,GB20KIGO91733600488674,Savings,69742.57
390,GB59PCKT24664746948192,Checking,57236.2
391,GB12TCSX91720880448540,Savings,15762.0
392,GB24TBXE08627070783066,Checking,92315.58
393,GB71ZWPQ39291834692971,Investment,87105.39
394,GB90INTJ75058834987842,Checking,60541.38
395,GB69WANO44917870705209,Investment,91185.95
396,GB29YXFD82842065851263,Savings,35656.68
397,GB80BPVU87711898720618,Savings,97619.36
398,GB98QEBH54064460946828,Investment,25797.05
399,GB61MFHL54886633005507,Investment,55799.98
400,GB76XAOK55417647867990,Investment,7795.98
401,GB32HBEW30490659959566,Savings,93582.8
402,GB24ZBJM82122359438375,Investment,54480.37
403,GB55GQWV16441887071016,Investment,47781.27
404,GB87PBQY25940197503322,Savings,37461.89
405,GB86KOFJ28149519422262,Checking,32407.5
406,GB03WPDO97223945930437,Savings,35210.87
407,GB66GTGW02140077040371,Checking,64899.06
408,GB09OSXZ48730996061192,Checking,51882.28
409,GB68CNEL03662857245510,Investment,92944.26
410,GB98BIVL97609751330922,Checking,82826.02
411,GB02NJHR37410466480743,Investment,98272.6
412,GB92LTZF72483121222052,Checking,2355.69
413,GB98ERIW59935831372034,Checking,40542.81
414,GB65HCYU15345090150218,Checking,48047.36
415,GB43DYUF29245023170020,Checking,31099.73
416,GB10MLTK64932603882572,Investment,3626.57
417,GB72MROW92637549543618,Investment,22429.95
418,GB88KPJI14306913892248,Savings,19290.43
419,GB50NSOI56577894380621,Savings,93132.85
420,GB53KDAM37838011798819,Checking,55721.37
421,GB20TGKX41684508558819,Savings,64097.36
422,GB09TMWE78541973929055,Savings,68228.71
423,GB84DETK40619856182050,Investment,31921.63
424,GB95KKGZ38884410388232,Savings,18147.35
425,GB43QTAU80737675048301,Investment,25483.22
426,GB09ODSC36945302954322,Savings,32067.07
427,GB24IAGB68289336695204,Investment,59035.85
428,GB39JISN92819543635271,Investment,94487.23
429,GB63OAOH73637458764883,Investment,37243.0
430,GB52QWRP63465627445992,Checking,4449.4
431,GB26CQFC99992967131394,Investment,56323.67
432,GB42GCCP02662708386256,Checking,46288.33
433,GB17ORMF90226871951477,Investment,29976.2
434,GB82LJUI23889021537629,Savings,24551.34
435,GB31VJAI19923179295506,Investment,3067.47
436,GB34SLDZ26658137368705,Checking,53324.15
437,GB51WZJX00314810634281,Checking,48269.79
438,GB80TOKQ99005052713086,Investment,68056.54
439,GB07UPBB39654436790917,Checking,2918.23
440,GB03CGWP16770960714075,Investment,21472.97
441,GB49AXOU19290654343111,Savings,55266.31
442,GB54BSSY55451928384230,Checking,23485.38
443,GB05MBJT56088097394796,Savings,20706.34
444,GB34QTZZ10667868548322,Savings,40055.09
445,GB22RVPO99550022829201,Savings,69650.87
446,GB58LDHW97094601754685,Investment,33084.26
447,GB21AQOU29840904458550,Savings,92627.17
448,GB74JSED31566952364837,Checking,96264.37
449,GB02IBMH63924334546756,Checking,95614.66
450,GB54ZWDT05675309712977,Investment,59585.0
451,GB61VVMA74825859417808,Checking,59676.83
452,GB42QFBT40046664779664,Investment,88281.66
453,GB60VXFU67598684296828,Investment,99573.78
454,GB16XWOA87274110166148,Investment,8682.57
455,GB13HKRI47742347146838,Checking,30738.04
456,GB27SRTW90231210507761,Investment,58501.05
457,GB65IVXZ69912248918377,Investment,78790.69
458,GB39UZHN34372076659106,Investment,11803.02
459,GB31JJJB83141042460537,Savings,21261.01
460,GB45BSTJ67857618693468,Investment,63908.11
461,GB28RIPY67634124353514,Investment,48274.12
462,GB56EVGN06880320487188,Savings,99055.91
463,GB27GTCJ60794608521293,Investment,53156.93
464,GB29NWAN51600455726053,Investment,41984.39
465,GB52PDJZ30306205283909,Investment,67361.77
466,GB08FTCA41774421082179,Checking,84854.69
467,GB16HXFL76655600157185,Checking,41159.78
468,GB94JLGO26529935669000,Checking,70148.51
469,GB41UANR87520762303931,Savings,19304.15
470,GB70CPWL98571463434164,Savings,55340.14
471,GB55INZL31764907626368,Checking,2384.41
472,GB53NAJN68584924913775,Investment,48626.65
473,GB73YKOQ23776111907683,Savings,72896.83
474,GB96EBOH61365178569326,Investment,77642.5
475,GB96OWPO12010401108805,Checking,5645.23
476,GB33EFLP13672255953181,Checking,74450.55
477,GB36QMBY74368483961340,Investment,95786.91
478,GB38YLVP10389924100420,Savings,54708.11
479,GB72GVFG51471585798305,Checking,34280.06
480,GB05KZKV21561217114621,Savings,13540.32
481,GB16ANER56995636555944,Checking,4291.98
482,GB49GCJF28162046829722,Savings,5564.92
483,GB61QOKE48075055294168,Savings,86857.65
484,GB10EBYV50624940137065,Checking,64480.13
485,GB64GLZB29932690735656,Investment,28696.92
486,GB86MCTS00857479957900,Investment,35954.5
487,GB27TEXN12266989987488,Savings,40528.83
488,GB15PAEQ93494198616940,Checking,67019.47
489,GB87IDVC56822437985008,Investment,35412.98
490,GB41SKZQ35981655736959,Investment,64027.26
491,GB30XBTE75146969867093,Checking,42590.08
492,GB09IFRL88426537730262,Checking,45739.03
493,GB39ZFEO17857040712819,Savings,81102.17
494,GB96QHSJ63294250490623,Checking,51026.57
495,GB15ERSV22656413304112,Investment,96055.45
496,GB15TNUA24029609389546,Checking,98335.73
497,GB56SVFM40743992108024,Investment,25889.01
498,GB06AVSE63938834423823,Savings,70062.22
499,GB82WYOG90172652404548,Investment,65939.29
500,GB77GDDA43429196243685,Savings,72359.49
